company;date;price
SARCO;7/24/2024;79.6
SARCO;7/25/2024;78.8
SARCO;7/28/2024;79
SARCO;7/29/2024;78
SARCO;7/30/2024;78.1
SARCO;7/31/2024;77.8
SARCO;08/01/2024;77
SARCO;08/04/2024;75.3
SARCO;08/05/2024;70.2
SARCO;08/06/2024;71.3
SARCO;08/07/2024;73.8
SARCO;08/08/2024;71.7
SARCO;08/11/2024;71.7
SARCO;08/12/2024;70.8
SARCO;8/13/2024;71
SARCO;8/14/2024;72.2
SARCO;8/15/2024;73.4
SARCO;8/18/2024;74.7
SARCO;8/19/2024;73.8
SARCO;8/20/2024;73.8
SARCO;8/21/2024;74.2
SARCO;8/22/2024;75.1
SARCO;8/25/2024;77.2
SARCO;8/26/2024;76.2
SARCO;8/27/2024;76.4
SARCO;8/28/2024;76.4
SARCO;8/29/2024;76.7
SARCO;09/01/2024;77.8
SARCO;09/02/2024;77.6
SARCO;09/03/2024;77.4
SARCO;09/04/2024;77
SARCO;09/05/2024;75.6
SARCO;09/08/2024;75.1
SARCO;09/09/2024;76.7
SARCO;09/10/2024;76
SARCO;09/11/2024;74.6
SARCO;09/12/2024;75.1
SARCO;9/15/2024;75
SARCO;9/16/2024;74
SARCO;9/17/2024;73.8
SARCO;9/18/2024;74.5
SARCO;9/19/2024;74.7
SARCO;9/22/2024;75
SARCO;9/24/2024;75.7
SARCO;9/25/2024;76.3
SARCO;9/26/2024;77.5
SARCO;9/29/2024;80.5
SARCO;9/30/2024;82
SARCO;10/01/2024;81.6
SARCO;10/02/2024;81.6
SARCO;10/03/2024;77.6
SARCO;10/06/2024;75.8
SARCO;10/07/2024;77.6
SARCO;10/08/2024;77
SARCO;10/09/2024;76
SARCO;10/10/2024;77.3
SARCO;10/13/2024;80
SARCO;10/14/2024;78.2
SARCO;10/15/2024;78.8
SARCO;10/16/2024;77.6
SARCO;10/17/2024;76.3
SARCO;10/20/2024;77.1
National Commercial Bank (NCB);10/22/2023;31.5
National Commercial Bank (NCB);10/23/2023;31
National Commercial Bank (NCB);10/24/2023;32
National Commercial Bank (NCB);10/25/2023;32.2
National Commercial Bank (NCB);10/26/2023;31.8
National Commercial Bank (NCB);10/29/2023;32.5
National Commercial Bank (NCB);10/30/2023;32.05
National Commercial Bank (NCB);10/31/2023;33.55
National Commercial Bank (NCB);11/01/2023;35
National Commercial Bank (NCB);11/02/2023;36
National Commercial Bank (NCB);11/05/2023;36.25
National Commercial Bank (NCB);11/06/2023;36.2
National Commercial Bank (NCB);11/07/2023;35.95
National Commercial Bank (NCB);11/08/2023;35.45
National Commercial Bank (NCB);11/09/2023;35.05
National Commercial Bank (NCB);11/12/2023;34.8
National Commercial Bank (NCB);11/13/2023;34.3
National Commercial Bank (NCB);11/14/2023;34.3
National Commercial Bank (NCB);11/15/2023;34.55
National Commercial Bank (NCB);11/16/2023;34.45
National Commercial Bank (NCB);11/19/2023;34.95
National Commercial Bank (NCB);11/20/2023;34.75
National Commercial Bank (NCB);11/21/2023;34.9
National Commercial Bank (NCB);11/22/2023;34.15
National Commercial Bank (NCB);11/23/2023;34.15
National Commercial Bank (NCB);11/26/2023;34.05
National Commercial Bank (NCB);11/27/2023;34.15
National Commercial Bank (NCB);11/28/2023;34.25
National Commercial Bank (NCB);11/29/2023;34.25
National Commercial Bank (NCB);11/30/2023;34.95
National Commercial Bank (NCB);12/03/2023;34.7
National Commercial Bank (NCB);12/04/2023;34.6
National Commercial Bank (NCB);12/05/2023;34.25
National Commercial Bank (NCB);12/06/2023;34.35
National Commercial Bank (NCB);12/07/2023;34.7
National Commercial Bank (NCB);12/10/2023;34.95
National Commercial Bank (NCB);12/11/2023;35.5
National Commercial Bank (NCB);12/12/2023;35.9
National Commercial Bank (NCB);12/13/2023;36
National Commercial Bank (NCB);12/14/2023;36.8
National Commercial Bank (NCB);12/17/2023;37
National Commercial Bank (NCB);12/18/2023;38.25
National Commercial Bank (NCB);12/19/2023;38.8
National Commercial Bank (NCB);12/20/2023;38.95
National Commercial Bank (NCB);12/21/2023;38.1
National Commercial Bank (NCB);12/24/2023;38.4
National Commercial Bank (NCB);12/25/2023;38.8
National Commercial Bank (NCB);12/26/2023;39
National Commercial Bank (NCB);12/27/2023;38.8
National Commercial Bank (NCB);12/28/2023;38.7
National Commercial Bank (NCB);12/31/2023;38.65
National Commercial Bank (NCB);01/01/2024;38.8
National Commercial Bank (NCB);01/02/2024;40.35
National Commercial Bank (NCB);01/03/2024;40
National Commercial Bank (NCB);01/04/2024;42.75
National Commercial Bank (NCB);01/07/2024;43.7
National Commercial Bank (NCB);01/08/2024;42.9
National Commercial Bank (NCB);01/09/2024;43
National Commercial Bank (NCB);01/10/2024;42.9
National Commercial Bank (NCB);01/11/2024;42.6
National Commercial Bank (NCB);1/14/2024;42.25
National Commercial Bank (NCB);1/15/2024;43
National Commercial Bank (NCB);1/16/2024;42.5
National Commercial Bank (NCB);1/17/2024;42.9
National Commercial Bank (NCB);1/18/2024;42.35
National Commercial Bank (NCB);1/21/2024;42.15
National Commercial Bank (NCB);1/22/2024;42.15
National Commercial Bank (NCB);1/23/2024;42.95
National Commercial Bank (NCB);1/24/2024;43.15
National Commercial Bank (NCB);1/25/2024;43.05
National Commercial Bank (NCB);1/28/2024;43.15
National Commercial Bank (NCB);1/29/2024;42.9
National Commercial Bank (NCB);1/30/2024;42.1
National Commercial Bank (NCB);1/31/2024;40.6
National Commercial Bank (NCB);02/01/2024;41.15
National Commercial Bank (NCB);02/04/2024;40.6
National Commercial Bank (NCB);02/05/2024;40.6
National Commercial Bank (NCB);02/06/2024;40.1
National Commercial Bank (NCB);02/07/2024;41.2
National Commercial Bank (NCB);02/08/2024;41.2
National Commercial Bank (NCB);02/11/2024;41
National Commercial Bank (NCB);02/12/2024;41.45
National Commercial Bank (NCB);2/13/2024;42.25
National Commercial Bank (NCB);2/14/2024;41.8
National Commercial Bank (NCB);2/15/2024;41.95
National Commercial Bank (NCB);2/18/2024;41.45
National Commercial Bank (NCB);2/19/2024;41.45
National Commercial Bank (NCB);2/20/2024;42.2
National Commercial Bank (NCB);2/21/2024;42.65
National Commercial Bank (NCB);2/25/2024;42.25
National Commercial Bank (NCB);2/26/2024;42.35
National Commercial Bank (NCB);2/27/2024;42.3
National Commercial Bank (NCB);2/28/2024;42.35
National Commercial Bank (NCB);2/29/2024;42.35
National Commercial Bank (NCB);03/03/2024;41.85
National Commercial Bank (NCB);03/04/2024;40.5
National Commercial Bank (NCB);03/05/2024;40.5
National Commercial Bank (NCB);03/06/2024;40
National Commercial Bank (NCB);03/07/2024;40
National Commercial Bank (NCB);03/10/2024;40.2
National Commercial Bank (NCB);03/11/2024;39.9
National Commercial Bank (NCB);03/12/2024;39.75
National Commercial Bank (NCB);3/13/2024;39.65
National Commercial Bank (NCB);3/14/2024;38.85
National Commercial Bank (NCB);3/17/2024;38.65
National Commercial Bank (NCB);3/18/2024;39.4
National Commercial Bank (NCB);3/19/2024;39.75
National Commercial Bank (NCB);3/20/2024;39.4
National Commercial Bank (NCB);3/21/2024;40.25
National Commercial Bank (NCB);3/24/2024;39.9
National Commercial Bank (NCB);3/25/2024;39.35
National Commercial Bank (NCB);3/26/2024;38.9
National Commercial Bank (NCB);3/27/2024;38.9
National Commercial Bank (NCB);3/28/2024;40.8
National Commercial Bank (NCB);3/31/2024;40.2
National Commercial Bank (NCB);04/01/2024;39.7
National Commercial Bank (NCB);04/02/2024;40
National Commercial Bank (NCB);04/03/2024;40.8
National Commercial Bank (NCB);04/04/2024;41.2
National Commercial Bank (NCB);4/15/2024;39.55
National Commercial Bank (NCB);4/16/2024;38.4
National Commercial Bank (NCB);4/17/2024;37.7
National Commercial Bank (NCB);4/18/2024;37.7
National Commercial Bank (NCB);4/21/2024;37.75
National Commercial Bank (NCB);4/22/2024;37.55
National Commercial Bank (NCB);4/23/2024;37.4
National Commercial Bank (NCB);4/24/2024;36.95
National Commercial Bank (NCB);4/25/2024;36.95
National Commercial Bank (NCB);4/28/2024;36.95
National Commercial Bank (NCB);4/29/2024;37.85
National Commercial Bank (NCB);4/30/2024;37.6
National Commercial Bank (NCB);05/01/2024;37.25
National Commercial Bank (NCB);05/02/2024;36.2
National Commercial Bank (NCB);05/05/2024;36.75
National Commercial Bank (NCB);05/06/2024;35.85
National Commercial Bank (NCB);05/07/2024;36.15
National Commercial Bank (NCB);05/08/2024;35.95
National Commercial Bank (NCB);05/09/2024;35.9
National Commercial Bank (NCB);05/12/2024;35.7
National Commercial Bank (NCB);5/13/2024;35.9
National Commercial Bank (NCB);5/14/2024;35.4
National Commercial Bank (NCB);5/15/2024;35
National Commercial Bank (NCB);5/16/2024;35.6
National Commercial Bank (NCB);5/19/2024;35.6
National Commercial Bank (NCB);5/20/2024;34.35
National Commercial Bank (NCB);5/21/2024;34.6
National Commercial Bank (NCB);5/22/2024;35.15
National Commercial Bank (NCB);5/23/2024;33.95
National Commercial Bank (NCB);5/26/2024;33.05
National Commercial Bank (NCB);5/27/2024;33.7
National Commercial Bank (NCB);5/28/2024;33
National Commercial Bank (NCB);5/29/2024;34.9
National Commercial Bank (NCB);5/30/2024;34.9
National Commercial Bank (NCB);06/02/2024;34.9
National Commercial Bank (NCB);06/03/2024;35.2
National Commercial Bank (NCB);06/04/2024;34.6
National Commercial Bank (NCB);06/05/2024;34.9
National Commercial Bank (NCB);06/06/2024;35.45
National Commercial Bank (NCB);06/09/2024;36.55
National Commercial Bank (NCB);06/10/2024;35.7
National Commercial Bank (NCB);06/11/2024;35.65
National Commercial Bank (NCB);06/12/2024;35.1
National Commercial Bank (NCB);6/13/2024;35.15
National Commercial Bank (NCB);6/23/2024;36.4
National Commercial Bank (NCB);6/24/2024;36.4
National Commercial Bank (NCB);6/25/2024;35.85
National Commercial Bank (NCB);6/26/2024;35.9
National Commercial Bank (NCB);6/27/2024;36.7
National Commercial Bank (NCB);6/30/2024;36.7
National Commercial Bank (NCB);07/01/2024;36.15
National Commercial Bank (NCB);07/02/2024;35.7
National Commercial Bank (NCB);07/03/2024;35.6
National Commercial Bank (NCB);07/04/2024;35.3
National Commercial Bank (NCB);07/07/2024;35.6
National Commercial Bank (NCB);07/08/2024;35.7
National Commercial Bank (NCB);07/09/2024;36.2
National Commercial Bank (NCB);07/10/2024;36.05
National Commercial Bank (NCB);07/11/2024;36
National Commercial Bank (NCB);7/14/2024;36.6
National Commercial Bank (NCB);7/15/2024;36.85
National Commercial Bank (NCB);7/16/2024;37.75
National Commercial Bank (NCB);7/17/2024;37.7
National Commercial Bank (NCB);7/18/2024;38.3
National Commercial Bank (NCB);7/21/2024;38.3
National Commercial Bank (NCB);7/22/2024;37.9
National Commercial Bank (NCB);7/23/2024;37.5
National Commercial Bank (NCB);7/24/2024;37.5
National Commercial Bank (NCB);7/25/2024;37.1
National Commercial Bank (NCB);7/28/2024;37.7
National Commercial Bank (NCB);7/29/2024;37.4
National Commercial Bank (NCB);7/30/2024;37.5
National Commercial Bank (NCB);7/31/2024;38
National Commercial Bank (NCB);08/01/2024;38.05
National Commercial Bank (NCB);08/04/2024;36.55
National Commercial Bank (NCB);08/05/2024;34.65
National Commercial Bank (NCB);08/06/2024;34.7
National Commercial Bank (NCB);08/07/2024;34.6
National Commercial Bank (NCB);08/08/2024;34.7
National Commercial Bank (NCB);08/11/2024;35.5
National Commercial Bank (NCB);08/12/2024;34.9
National Commercial Bank (NCB);8/13/2024;34.85
National Commercial Bank (NCB);8/14/2024;34.9
National Commercial Bank (NCB);8/15/2024;34.85
National Commercial Bank (NCB);8/18/2024;35
National Commercial Bank (NCB);8/19/2024;35.05
National Commercial Bank (NCB);8/20/2024;35.75
National Commercial Bank (NCB);8/21/2024;36.85
National Commercial Bank (NCB);8/22/2024;36.9
National Commercial Bank (NCB);8/25/2024;36.85
National Commercial Bank (NCB);8/26/2024;36.6
National Commercial Bank (NCB);8/27/2024;36.05
National Commercial Bank (NCB);8/28/2024;35.2
National Commercial Bank (NCB);8/29/2024;35
National Commercial Bank (NCB);09/01/2024;35.2
National Commercial Bank (NCB);09/02/2024;34.95
National Commercial Bank (NCB);09/03/2024;34.95
National Commercial Bank (NCB);09/04/2024;35.1
National Commercial Bank (NCB);09/05/2024;35.4
National Commercial Bank (NCB);09/08/2024;34.6
National Commercial Bank (NCB);09/09/2024;34.4
National Commercial Bank (NCB);09/10/2024;34.65
National Commercial Bank (NCB);09/11/2024;34.15
National Commercial Bank (NCB);09/12/2024;34.2
National Commercial Bank (NCB);9/15/2024;34.3
National Commercial Bank (NCB);9/16/2024;34.1
National Commercial Bank (NCB);9/17/2024;34.3
National Commercial Bank (NCB);9/18/2024;34.55
National Commercial Bank (NCB);9/19/2024;35.2
National Commercial Bank (NCB);9/22/2024;35.2
National Commercial Bank (NCB);9/24/2024;36
National Commercial Bank (NCB);9/25/2024;35.8
National Commercial Bank (NCB);9/26/2024;35.65
National Commercial Bank (NCB);9/29/2024;35
National Commercial Bank (NCB);9/30/2024;34.3
National Commercial Bank (NCB);10/01/2024;34.6
National Commercial Bank (NCB);10/02/2024;34.6
National Commercial Bank (NCB);10/03/2024;33.5
National Commercial Bank (NCB);10/06/2024;33.3
National Commercial Bank (NCB);10/07/2024;33.95
National Commercial Bank (NCB);10/08/2024;34.9
National Commercial Bank (NCB);10/09/2024;34.95
National Commercial Bank (NCB);10/10/2024;34.95
National Commercial Bank (NCB);10/13/2024;34.75
National Commercial Bank (NCB);10/14/2024;34.5
National Commercial Bank (NCB);10/15/2024;35
National Commercial Bank (NCB);10/16/2024;35.2
National Commercial Bank (NCB);10/17/2024;34.75
National Commercial Bank (NCB);10/20/2024;34.5
Al Rajhi Bank;10/22/2023;64
Al Rajhi Bank;10/23/2023;63.5
Al Rajhi Bank;10/24/2023;64.9
Al Rajhi Bank;10/25/2023;65.2
Al Rajhi Bank;10/26/2023;64.2
Al Rajhi Bank;10/29/2023;64.9
Al Rajhi Bank;10/30/2023;65.1
Al Rajhi Bank;10/31/2023;67.1
Al Rajhi Bank;11/01/2023;69.9
Al Rajhi Bank;11/02/2023;70
Al Rajhi Bank;11/05/2023;70
Al Rajhi Bank;11/06/2023;70.4
Al Rajhi Bank;11/07/2023;70.6
Al Rajhi Bank;11/08/2023;71
Al Rajhi Bank;11/09/2023;70.8
Al Rajhi Bank;11/12/2023;70.7
Al Rajhi Bank;11/13/2023;70
Al Rajhi Bank;11/14/2023;71.2
Al Rajhi Bank;11/15/2023;74
Al Rajhi Bank;11/16/2023;74.5
Al Rajhi Bank;11/19/2023;74.9
Al Rajhi Bank;11/20/2023;75
Al Rajhi Bank;11/21/2023;75.5
Al Rajhi Bank;11/22/2023;75.4
Al Rajhi Bank;11/23/2023;75.4
Al Rajhi Bank;11/26/2023;75.2
Al Rajhi Bank;11/27/2023;75.7
Al Rajhi Bank;11/28/2023;75.7
Al Rajhi Bank;11/29/2023;75.7
Al Rajhi Bank;11/30/2023;76.4
Al Rajhi Bank;12/03/2023;76.8
Al Rajhi Bank;12/04/2023;76.8
Al Rajhi Bank;12/05/2023;75.3
Al Rajhi Bank;12/06/2023;75.3
Al Rajhi Bank;12/07/2023;76.4
Al Rajhi Bank;12/10/2023;78.5
Al Rajhi Bank;12/11/2023;80.2
Al Rajhi Bank;12/12/2023;80.1
Al Rajhi Bank;12/13/2023;80.3
Al Rajhi Bank;12/14/2023;83.2
Al Rajhi Bank;12/17/2023;83.1
Al Rajhi Bank;12/18/2023;83.6
Al Rajhi Bank;12/19/2023;83.7
Al Rajhi Bank;12/20/2023;83.6
Al Rajhi Bank;12/21/2023;82.5
Al Rajhi Bank;12/24/2023;83.6
Al Rajhi Bank;12/25/2023;85.8
Al Rajhi Bank;12/26/2023;86.6
Al Rajhi Bank;12/27/2023;86.5
Al Rajhi Bank;12/28/2023;87
Al Rajhi Bank;12/31/2023;86.5
Al Rajhi Bank;01/01/2024;86.8
Al Rajhi Bank;01/02/2024;86.9
Al Rajhi Bank;01/03/2024;84.7
Al Rajhi Bank;01/04/2024;87.5
Al Rajhi Bank;01/07/2024;88.8
Al Rajhi Bank;01/08/2024;88.8
Al Rajhi Bank;01/09/2024;87.2
Al Rajhi Bank;01/10/2024;86.8
Al Rajhi Bank;01/11/2024;87
Al Rajhi Bank;1/14/2024;86.4
Al Rajhi Bank;1/15/2024;88
Al Rajhi Bank;1/16/2024;87.2
Al Rajhi Bank;1/17/2024;86.7
Al Rajhi Bank;1/18/2024;85.1
Al Rajhi Bank;1/21/2024;85.3
Al Rajhi Bank;1/22/2024;85.3
Al Rajhi Bank;1/23/2024;87
Al Rajhi Bank;1/24/2024;87.9
Al Rajhi Bank;1/25/2024;88.5
Al Rajhi Bank;1/28/2024;91.5
Al Rajhi Bank;1/29/2024;90.5
Al Rajhi Bank;1/30/2024;88.1
Al Rajhi Bank;1/31/2024;84
Al Rajhi Bank;02/01/2024;86
Al Rajhi Bank;02/04/2024;87
Al Rajhi Bank;02/05/2024;87
Al Rajhi Bank;02/06/2024;87
Al Rajhi Bank;02/07/2024;87.9
Al Rajhi Bank;02/08/2024;87.9
Al Rajhi Bank;02/11/2024;89.9
Al Rajhi Bank;02/12/2024;89.8
Al Rajhi Bank;2/13/2024;90.8
Al Rajhi Bank;2/14/2024;90.1
Al Rajhi Bank;2/15/2024;89.7
Al Rajhi Bank;2/18/2024;89.5
Al Rajhi Bank;2/19/2024;90
Al Rajhi Bank;2/20/2024;90.7
Al Rajhi Bank;2/21/2024;90.6
Al Rajhi Bank;2/25/2024;89.8
Al Rajhi Bank;2/26/2024;89.5
Al Rajhi Bank;2/27/2024;89.9
Al Rajhi Bank;2/28/2024;89
Al Rajhi Bank;2/29/2024;89
Al Rajhi Bank;03/03/2024;87.7
Al Rajhi Bank;03/04/2024;86.4
Al Rajhi Bank;03/05/2024;86.4
Al Rajhi Bank;03/06/2024;86.4
Al Rajhi Bank;03/07/2024;85.8
Al Rajhi Bank;03/10/2024;85.4
Al Rajhi Bank;03/11/2024;85.3
Al Rajhi Bank;03/12/2024;85.6
Al Rajhi Bank;3/13/2024;86.9
Al Rajhi Bank;3/14/2024;86.2
Al Rajhi Bank;3/17/2024;85.1
Al Rajhi Bank;3/18/2024;85.1
Al Rajhi Bank;3/19/2024;85.1
Al Rajhi Bank;3/20/2024;84.2
Al Rajhi Bank;3/21/2024;88
Al Rajhi Bank;3/24/2024;88.2
Al Rajhi Bank;3/25/2024;85.1
Al Rajhi Bank;3/26/2024;84.5
Al Rajhi Bank;3/27/2024;84.3
Al Rajhi Bank;3/28/2024;83.1
Al Rajhi Bank;3/31/2024;82.3
Al Rajhi Bank;04/01/2024;81.5
Al Rajhi Bank;04/02/2024;82.2
Al Rajhi Bank;04/03/2024;84.4
Al Rajhi Bank;04/04/2024;84.5
Al Rajhi Bank;4/15/2024;82.8
Al Rajhi Bank;4/16/2024;80.4
Al Rajhi Bank;4/17/2024;80.5
Al Rajhi Bank;4/18/2024;80.6
Al Rajhi Bank;4/21/2024;79.1
Al Rajhi Bank;4/22/2024;78.6
Al Rajhi Bank;4/23/2024;78.7
Al Rajhi Bank;4/24/2024;78.6
Al Rajhi Bank;4/25/2024;77.5
Al Rajhi Bank;4/28/2024;77.5
Al Rajhi Bank;4/29/2024;80.3
Al Rajhi Bank;4/30/2024;79.9
Al Rajhi Bank;05/01/2024;79.9
Al Rajhi Bank;05/02/2024;79.8
Al Rajhi Bank;05/05/2024;81
Al Rajhi Bank;05/06/2024;80.3
Al Rajhi Bank;05/07/2024;80.8
Al Rajhi Bank;05/08/2024;80.3
Al Rajhi Bank;05/09/2024;79.5
Al Rajhi Bank;05/12/2024;79
Al Rajhi Bank;5/13/2024;78.9
Al Rajhi Bank;5/14/2024;79.8
Al Rajhi Bank;5/15/2024;80.1
Al Rajhi Bank;5/16/2024;80.2
Al Rajhi Bank;5/19/2024;80.2
Al Rajhi Bank;5/20/2024;79.8
Al Rajhi Bank;5/21/2024;79.2
Al Rajhi Bank;5/22/2024;80.2
Al Rajhi Bank;5/23/2024;79.1
Al Rajhi Bank;5/26/2024;78
Al Rajhi Bank;5/27/2024;77.8
Al Rajhi Bank;5/28/2024;77.6
Al Rajhi Bank;5/29/2024;77.2
Al Rajhi Bank;5/30/2024;77.2
Al Rajhi Bank;06/02/2024;77.2
Al Rajhi Bank;06/03/2024;78.1
Al Rajhi Bank;06/04/2024;77.7
Al Rajhi Bank;06/05/2024;77.8
Al Rajhi Bank;06/06/2024;78.9
Al Rajhi Bank;06/09/2024;81.8
Al Rajhi Bank;06/10/2024;80.9
Al Rajhi Bank;06/11/2024;80
Al Rajhi Bank;06/12/2024;79.8
Al Rajhi Bank;6/13/2024;79
Al Rajhi Bank;6/23/2024;81
Al Rajhi Bank;6/24/2024;81.3
Al Rajhi Bank;6/25/2024;82
Al Rajhi Bank;6/26/2024;81.1
Al Rajhi Bank;6/27/2024;81.5
Al Rajhi Bank;6/30/2024;81.5
Al Rajhi Bank;07/01/2024;80
Al Rajhi Bank;07/02/2024;79.6
Al Rajhi Bank;07/03/2024;79.1
Al Rajhi Bank;07/04/2024;79.6
Al Rajhi Bank;07/07/2024;79.5
Al Rajhi Bank;07/08/2024;80
Al Rajhi Bank;07/09/2024;80.8
Al Rajhi Bank;07/10/2024;80.5
Al Rajhi Bank;07/11/2024;80.5
Al Rajhi Bank;7/14/2024;81.4
Al Rajhi Bank;7/15/2024;82.8
Al Rajhi Bank;7/16/2024;83.1
Al Rajhi Bank;7/17/2024;83.3
Al Rajhi Bank;7/18/2024;84
Al Rajhi Bank;7/21/2024;84.6
Al Rajhi Bank;7/22/2024;84.3
Al Rajhi Bank;7/23/2024;83.7
Al Rajhi Bank;7/24/2024;84.4
Al Rajhi Bank;7/25/2024;83.5
Al Rajhi Bank;7/28/2024;85.8
Al Rajhi Bank;7/29/2024;85.1
Al Rajhi Bank;7/30/2024;85
Al Rajhi Bank;7/31/2024;85.6
Al Rajhi Bank;08/01/2024;85
Al Rajhi Bank;08/04/2024;82.7
Al Rajhi Bank;08/05/2024;84.2
Al Rajhi Bank;08/06/2024;85
Al Rajhi Bank;08/07/2024;84.7
Al Rajhi Bank;08/08/2024;85.8
Al Rajhi Bank;08/11/2024;86
Al Rajhi Bank;08/12/2024;85.5
Al Rajhi Bank;8/13/2024;84.5
Al Rajhi Bank;8/14/2024;84
Al Rajhi Bank;8/15/2024;83.8
Al Rajhi Bank;8/18/2024;83.2
Al Rajhi Bank;8/19/2024;84.2
Al Rajhi Bank;8/20/2024;86.5
Al Rajhi Bank;8/21/2024;89.1
Al Rajhi Bank;8/22/2024;88.9
Al Rajhi Bank;8/25/2024;88.7
Al Rajhi Bank;8/26/2024;88.6
Al Rajhi Bank;8/27/2024;88
Al Rajhi Bank;8/28/2024;86.7
Al Rajhi Bank;8/29/2024;88.1
Al Rajhi Bank;09/01/2024;88.8
Al Rajhi Bank;09/02/2024;87.5
Al Rajhi Bank;09/03/2024;88.5
Al Rajhi Bank;09/04/2024;89
Al Rajhi Bank;09/05/2024;88.7
Al Rajhi Bank;09/08/2024;87
Al Rajhi Bank;09/09/2024;87.9
Al Rajhi Bank;09/10/2024;88.2
Al Rajhi Bank;09/11/2024;87
Al Rajhi Bank;09/12/2024;87.9
Al Rajhi Bank;9/15/2024;88.9
Al Rajhi Bank;9/16/2024;88.7
Al Rajhi Bank;9/17/2024;87.8
Al Rajhi Bank;9/18/2024;88.1
Al Rajhi Bank;9/19/2024;89.9
Al Rajhi Bank;9/22/2024;89.4
Al Rajhi Bank;9/24/2024;89.9
Al Rajhi Bank;9/25/2024;90.7
Al Rajhi Bank;9/26/2024;89.6
Al Rajhi Bank;9/29/2024;88.1
Al Rajhi Bank;9/30/2024;87.2
Al Rajhi Bank;10/01/2024;87.4
Al Rajhi Bank;10/02/2024;87.4
Al Rajhi Bank;10/03/2024;84.1
Al Rajhi Bank;10/06/2024;80.1
Al Rajhi Bank;10/07/2024;84.2
Al Rajhi Bank;10/08/2024;85.7
Al Rajhi Bank;10/09/2024;84
Al Rajhi Bank;10/10/2024;85.4
Al Rajhi Bank;10/13/2024;86.4
Al Rajhi Bank;10/14/2024;85
Al Rajhi Bank;10/15/2024;85
Al Rajhi Bank;10/16/2024;84.9
Al Rajhi Bank;10/17/2024;82.4
Al Rajhi Bank;10/20/2024;82.7
ETIHAD ETISALAT;10/22/2023;44.8
ETIHAD ETISALAT;10/23/2023;42
ETIHAD ETISALAT;10/24/2023;42.4
ETIHAD ETISALAT;10/25/2023;44.6
ETIHAD ETISALAT;10/26/2023;44.75
ETIHAD ETISALAT;10/29/2023;45.1
ETIHAD ETISALAT;10/30/2023;45.4
ETIHAD ETISALAT;10/31/2023;46.1
ETIHAD ETISALAT;11/01/2023;47.75
ETIHAD ETISALAT;11/02/2023;46.95
ETIHAD ETISALAT;11/05/2023;46
ETIHAD ETISALAT;11/06/2023;46.2
ETIHAD ETISALAT;11/07/2023;47.4
ETIHAD ETISALAT;11/08/2023;48.95
ETIHAD ETISALAT;11/09/2023;47.4
ETIHAD ETISALAT;11/12/2023;47.9
ETIHAD ETISALAT;11/13/2023;47.05
ETIHAD ETISALAT;11/14/2023;46.5
ETIHAD ETISALAT;11/15/2023;46.6
ETIHAD ETISALAT;11/16/2023;47.4
ETIHAD ETISALAT;11/19/2023;47
ETIHAD ETISALAT;11/20/2023;47.5
ETIHAD ETISALAT;11/21/2023;47.35
ETIHAD ETISALAT;11/22/2023;47
ETIHAD ETISALAT;11/23/2023;47
ETIHAD ETISALAT;11/26/2023;46.5
ETIHAD ETISALAT;11/27/2023;45.8
ETIHAD ETISALAT;11/28/2023;46.3
ETIHAD ETISALAT;11/29/2023;46.25
ETIHAD ETISALAT;11/30/2023;46.2
ETIHAD ETISALAT;12/03/2023;45.85
ETIHAD ETISALAT;12/04/2023;45.5
ETIHAD ETISALAT;12/05/2023;46.5
ETIHAD ETISALAT;12/06/2023;46.5
ETIHAD ETISALAT;12/07/2023;46.4
ETIHAD ETISALAT;12/10/2023;46
ETIHAD ETISALAT;12/11/2023;46.15
ETIHAD ETISALAT;12/12/2023;46.6
ETIHAD ETISALAT;12/13/2023;47.4
ETIHAD ETISALAT;12/14/2023;46.95
ETIHAD ETISALAT;12/17/2023;47.3
ETIHAD ETISALAT;12/18/2023;47.95
ETIHAD ETISALAT;12/19/2023;47.95
ETIHAD ETISALAT;12/20/2023;48.55
ETIHAD ETISALAT;12/21/2023;47.85
ETIHAD ETISALAT;12/24/2023;48.05
ETIHAD ETISALAT;12/25/2023;48.8
ETIHAD ETISALAT;12/26/2023;49.55
ETIHAD ETISALAT;12/27/2023;49.6
ETIHAD ETISALAT;12/28/2023;49.4
ETIHAD ETISALAT;12/31/2023;49.05
ETIHAD ETISALAT;01/01/2024;50
ETIHAD ETISALAT;01/02/2024;50.3
ETIHAD ETISALAT;01/03/2024;50.6
ETIHAD ETISALAT;01/04/2024;51.4
ETIHAD ETISALAT;01/07/2024;52.1
ETIHAD ETISALAT;01/08/2024;51.3
ETIHAD ETISALAT;01/09/2024;51.5
ETIHAD ETISALAT;01/10/2024;51.7
ETIHAD ETISALAT;01/11/2024;50.5
ETIHAD ETISALAT;1/14/2024;50.2
ETIHAD ETISALAT;1/15/2024;50.5
ETIHAD ETISALAT;1/16/2024;50.4
ETIHAD ETISALAT;1/17/2024;52
ETIHAD ETISALAT;1/18/2024;51.3
ETIHAD ETISALAT;1/21/2024;51.2
ETIHAD ETISALAT;1/22/2024;51.2
ETIHAD ETISALAT;1/23/2024;52.2
ETIHAD ETISALAT;1/24/2024;52.5
ETIHAD ETISALAT;1/25/2024;51.4
ETIHAD ETISALAT;1/28/2024;51
ETIHAD ETISALAT;1/29/2024;51.8
ETIHAD ETISALAT;1/30/2024;50.9
